entropy,avg_displacement
8.312705993652343750e+00,5.752492874758454278e+00
8.309467315673828125e+00,6.346583894466696130e+00
8.306169509887695312e+00,5.950620823387245295e+00
8.303004264831542969e+00,5.356394776308702532e+00
8.299518585205078125e+00,6.148555045135371877e+00
8.296099662780761719e+00,6.148472112309241844e+00
8.292688369750976562e+00,5.158373639608611505e+00
8.289211273193359375e+00,5.752811877269321528e+00
8.285769462585449219e+00,6.148407311211346205e+00
8.282556533813476562e+00,5.950597547981007374e+00
8.279632568359375000e+00,4.960526620707685908e+00
8.276830673217773438e+00,6.346559024121171788e+00
8.273641586303710938e+00,5.752512661689128670e+00
8.270853042602539062e+00,6.148906572098255197e+00
8.268154144287109375e+00,8.524726350434567834e+00
8.265338897705078125e+00,6.346591319422255850e+00
8.262741088867187500e+00,4.960460926403533755e+00
8.260189056396484375e+00,4.564316793908285597e+00
8.257488250732421875e+00,6.346523697107526729e+00
8.254735946655273438e+00,4.960383319200762031e+00
8.252396583557128906e+00,7.138599639740047742e+00
8.250197410583496094e+00,5.356516912320691048e+00
8.248203277587890625e+00,5.158327793677432105e+00
8.246324539184570312e+00,4.960404583281394331e+00
8.244258880615234375e+00,6.742838651910628478e+00
8.242332458496093750e+00,6.148493719791286338e+00
8.240364074707031250e+00,7.138774465591259499e+00
8.238290786743164062e+00,4.564409404038672236e+00
8.236010551452636719e+00,5.950354451651035603e+00
8.233922958374023438e+00,5.950708548801025621e+00
8.231679916381835938e+00,5.158382970908674814e+00
8.229634284973144531e+00,6.346754255497296882e+00
8.227392196655273438e+00,6.742475867931323030e+00
8.225220680236816406e+00,6.544664235995467649e+00
8.223173141479492188e+00,5.158448115606030449e+00
8.220869064331054688e+00,5.752441879722468343e+00
8.218751907348632812e+00,6.940564252159403758e+00
8.216543197631835938e+00,5.554338314074717786e+00
8.214202880859375000e+00,5.158685181268703346e+00
8.211477279663085938e+00,6.544771205740413045e+00
8.208690643310546875e+00,6.544533622981429488e+00
8.205782890319824219e+00,4.762230940478756835e+00
8.202811241149902344e+00,6.148764022541757690e+00
8.199934005737304688e+00,6.346607026929980577e+00
8.197242736816406250e+00,5.158242108855692898e+00
8.194143295288085938e+00,7.732988575971734058e+00
8.190872192382812500e+00,4.762320278569680987e+00
8.187572479248046875e+00,5.950343982667744669e+00
8.184083938598632812e+00,6.148438724689378354e+00
8.180391311645507812e+00,5.158442883247884581e+00
8.176662445068359375e+00,6.346404611517567851e+00
8.173431396484375000e+00,6.940558277977165069e+00
8.170421600341796875e+00,5.752539331324955540e+00
8.167339324951171875e+00,6.346427879135826622e+00
8.164306640625000000e+00,7.336661704520587968e+00
8.161209106445312500e+00,6.346836286768779978e+00
8.157964706420898438e+00,6.940558082386994343e+00
8.154663085937500000e+00,4.762353808044301751e+00
8.151282310485839844e+00,5.356195367109938488e+00
8.148077964782714844e+00,5.950598113842993975e+00
8.144517898559570312e+00,5.950342622431306516e+00
8.141362190246582031e+00,5.554368505091658470e+00
8.138178825378417969e+00,6.544454902151457532e+00
8.134754180908203125e+00,5.752461069256283643e+00
8.131109237670898438e+00,6.148610799745975797e+00
8.127132415771484375e+00,8.128911124083373352e+00
8.122916221618652344e+00,5.752580495661249849e+00
8.118692398071289062e+00,6.346704835842072789e+00
8.115054130554199219e+00,7.732719021329044651e+00
8.111167907714843750e+00,3.970275901708451904e+00
8.106884002685546875e+00,6.346612404675600949e+00
8.103247642517089844e+00,8.128770489540151800e+00
8.099462509155273438e+00,5.950445463809414193e+00
8.095801353454589844e+00,6.940643955217554506e+00
8.092531204223632812e+00,5.950601435448177767e+00
8.089031219482421875e+00,6.544532798668203810e+00
8.085962295532226562e+00,5.554372939742317605e+00
8.082530975341796875e+00,6.346312683002690136e+00
8.079390525817871094e+00,5.554297859276090321e+00
8.076393127441406250e+00,7.336726601816295101e+00
8.073537826538085938e+00,4.366509934656789049e+00
8.070592880249023438e+00,6.940503460442563721e+00
8.068029403686523438e+00,6.544349080247576111e+00
8.065353393554687500e+00,6.742327419624499996e+00
8.062872886657714844e+00,7.138604059023205828e+00
8.060344696044921875e+00,4.960244332881300622e+00
8.057521820068359375e+00,6.346587418398871527e+00
8.054805755615234375e+00,7.138698139081256500e+00
8.051951408386230469e+00,6.742425254308007432e+00
8.048971176147460938e+00,5.752389665588694356e+00
8.045622825622558594e+00,5.950578788280338927e+00
8.042665481567382812e+00,6.346641572589639679e+00
8.039974212646484375e+00,6.544521873881763874e+00
8.037138938903808594e+00,7.336734124165241511e+00
